id,name,city,iata,icao,lat,lng
1,BOAT,Gaborone,Botswana,1,-24.60647548,25.93221804
2,BOAT,Kabul,Afghanistan,2,34.5328,69.1658
3,BOAT,Lower Hutt,New Zealand,3,-41.2167,174.9167
4,BOAT,????,#FIELD!,4,#FIELD!,#FIELD!
5,BOAT,Sucre,Bolivia,5,-19.0475,-65.2600
6,BOAT,Cairo,Egypt,6,30.0444,31.2358
7,BOAT,"Buffalo, New York",#CONNECT!,7,42.8864,-78.8781
8,BOAT,"Tierra del Fuego Province, Argentina",Argentina,8,-54.33687068,-67.6307259
9,BOAT,"Divo, Ivory Coast",Ivory Coast,9,5.8372,-5.3572
10,BOAT,"Nome, Alaska",United States,10,64.5000,-165.4000
11,BOAT,Tallinn,Estonia,11,59.4372,24.7450
12,BOAT,Seoul,#CONNECT!,12,37.5576856,126.9981605
13,BOAT,Heard Island and McDonald Islands,#FIELD!,13,-53.0931115,73.5245346
14,BOAT,"Eyjafjallajokul, Iceland",#FIELD!,14,63.63321505,-19.60988272
15,BOAT,Lima,Peru,15,-12.0600,-77.0375
16,BOAT,Copenhagen,#CONNECT!,16,55.6761,12.5689
17,BOAT,Algiers,Algeria,17,36.7764,3.0586
18,BOAT,Quito,Ecuador,18,-0.2200,-78.5125
19,BOAT,Arles,France,19,43.6769,4.6286
20,BOAT,Ascension Island,United Kingdom,20,-7.928738492,-14.41356899
21,BOAT,"Iturup, Russia",#FIELD!,21,45.07462541,147.766945
22,BOAT,New Orleans,United States,22,29.9761,-90.0783
23,BOAT,Malé,Maldives,23,4.174988093,73.51001207
24,BOAT,Casablanca,Morocco,24,33.5992,-7.6200
25,BOAT,Maputo,Mozambique,25,-25.89098477,32.60141085
26,BOAT,Ankara,#CONNECT!,26,39.9358,32.8387
27,BOAT,South Pole,#FIELD!,27,-90.0000,0.0000
28,BOAT,????,#FIELD!,28,#FIELD!,#FIELD!
29,BOAT,Kundang,Malaysia,29,3.2833,101.5170
30,BOAT,Lahore,Pakistan,30,31.5497,74.3436
31,BOAT,Ile de la Possession,#FIELD!,31,-46.40989449,51.75212957
32,BOAT,Tampa Bay,United States,32,27.7625,-82.5458
33,BOAT,Thane,India,33,19.1800,72.9633
34,BOAT,?????,#FIELD!,34,#FIELD!,#FIELD!
35,BOAT,Tbilisi,Georgia,35,41.73435429,44.80985094
36,BOAT,"DeKalb, Illinois",United States,36,41.9314,-88.7503
37,BOAT,"Toad Suck, Arkansas",#CONNECT!,37,35.0756,-92.5600
38,BOAT,"Nazare Coast, Portugal",#FIELD!,38,39.61676217,-9.082886005
39,BOAT,Queensland,Australia,39,-22.71451648,144.7145485
40,BOAT,???,#FIELD!,40,#FIELD!,#FIELD!
41,BOAT,Doha,Qatar,41,25.27343104,51.50032046
42,BOAT,Yellowknife,#CONNECT!,42,62.4422,-114.3975
43,BOAT,Moscow,Russia,43,55.63580455,37.48124616
44,BOAT,Yellowstone,#FIELD!,44,44.59954601,-110.5609094
45,BOAT,Accra,Ghana,45,5.5461,-0.2067
46,BOAT,Antananarivo,Madagascar,46,-18.9386,47.5214
47,BOAT,Tashkent,#CONNECT!,47,41.29804594,69.23816524
48,BOAT,Jaba Dimtu,Kenya,48,2.8800,41.0500
49,BOAT,Tijuana,Mexico,49,32.5364,-117.0372
50,BOAT,Montreal,Canada,50,45.5089,-73.5617
51,BOAT,"Wichita, Kansas",#CONNECT!,51,37.6889,-97.3361
52,PLANE,"Charlotte, North Carolina",#CONNECT!,52,35.2269,-80.8433
53,PLANE,Ambanja,Madagascar,53,-13.6786,48.4522
54,PLANE,San Miguel de Tucumán,Argentina,54,-26.8167,-65.2167
55,PLANE,"Natif Waterfalls, Oman",#FIELD!,55,17.47563455,55.22955054
56,PLANE,Pune,India,56,18.5196,73.8553
57,PLANE,Krasnodar,Russia,57,45.0333,38.9833
58,PLANE,"Derby Wharf, Australia",#FIELD!,58,-17.29143752,123.6094261
59,PLANE,Manaus,Brazil,59,-3.1189,-60.0217
60,PLANE,Velingrad,Bulgaria,60,42.0276,23.9913
61,PLANE,Marrakesh,Morocco,61,31.6295,-7.9811
62,PLANE,Edmonton,Canada,62,53.5333,-113.5000
63,PLANE,"Orlando, Florida",United States,63,28.5336,-81.3867
64,PLANE,Tacurong,Philippines,64,6.6833,124.6667
65,PLANE,Vladivostok,Russia,65,43.1150,131.8853
66,PLANE,Saint Pierre and Miquelon,#FIELD!,66,46.99102724,-56.32868254
67,PLANE,Cochabamba,Bolivia,67,-17.3935,-66.1570
68,HORSE,Nova Russas,Brazil,68,-4.7000,-40.5667
69,HORSE,Antalya,Turkey,69,36.9081,30.6956
70,HORSE,Christchurch,New Zealand,70,-43.5309,172.6365
71,HORSE,"Castelo Branco, Portugal",Portugal,71,39.8228,-7.4931
72,HORSE,Monkey Bay,#CONNECT!,72,-14.0667,34.9167
73,HORSE,"Cesk Budejovice, Czechia",#FIELD!,73,48.98618147,14.46805977
74,HORSE,Curicó,#CONNECT!,74,-34.9854,-71.2394
75,HORSE,Ōkato,New Zealand,75,-39.1910,173.8800
76,HORSE,Sokodé,Togo,76,8.9833,1.1333
77,CAR,Mosul,Iraq,77,36.3667,43.1167
78,CAR,Arzamas,#CONNECT!,78,55.3833,43.8000
79,CAR,"Casper, Wyoming",United States,79,42.8347,-106.3250
80,CAR,Mayotte,#FIELD!,80,-12.7922836,45.1474714
81,CAR,Genoa,Italy,81,44.4072,8.9340
82,CAR,Giresun,Turkey,82,40.9000,38.4167
83,CAR,Baku,Azerbaijan,83,40.41038337,49.87823405
84,CAR,Surat,India,84,21.2050,72.8400
85,CAR,"L'Ascension, Quebec",Canada,85,46.5500,-74.8333
86,CAR,"Moolap, Victoria",Australia,86,-38.1833,144.4330
87,CAR,"Beatty, Nevada",United States,87,36.9094,-116.7544
88,CAR,???,#FIELD!,88,#FIELD!,#FIELD!
89,CAR,Istanbul,#CONNECT!,89,41.0100,28.9603
90,CAR,Visby,Sweden,90,57.6290,18.3071
